GlobalRank,Name,Team,Pos,ECR_Pos,ContractYear,Flag,Notes,PosTier,Bye,SoS_Rank,SoS_Tier,SoS_Label,SF_TEP_Tag,GlobalValue,DurabilityNote,Tier,TierLevel,ADP,ValueDelta
1,Jahmyr Gibbs,DET,RB,1,N,STUD,"Top-of-market receiving-back profile; SF Overall #7. UPDATED 8/30: hamstring issue after signing his Aug extension pulled him from practice -- Campbell says 'on schedule' for the opener, confirm his practice status the morning of your draft",1,6.0,1,1,Very Soft,SF Overall #7,287.3,"minor Aug hamstring issue, team says on schedule",1,Tier 1,3.5,2.5
2,Josh Allen,BUF,QB,1,N,STUD,Unanimous 2026 QB1; top-2 fantasy finish 5 straight years,1,7.0,30,5,Gauntlet,Superflex Elite | SF Overall #1,260.9,,1,Tier 1,4.8,2.8
3,Ja'Marr Chase,CIN,WR,1,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,1,6.0,6,1,Very Soft,SF Overall #9,242.3,,1,Tier 1,6.1,3.1
4,Brock Bowers,LV,TE,1,N,STUD,1.0 TE premium turns him into a WR1-scoring asset,1,13.0,31,5,Gauntlet,TEP Cheat Code,221.0,,1,Tier 1,27.1,23.1
5,Lamar Jackson,BAL,QB,2,N,STUD,Elite dual-threat despite a down 2025; SF Overall #2,1,13.0,4,1,Very Soft,Superflex Elite | SF Overall #2,189.7,,2,Tier 2,8.9,3.9
6,Bijan Robinson,ATL,RB,2,N,STUD,Bell-cow touches plus real receiving work; SF Overall #8,1,11.0,15,3,Neutral,SF Overall #8,175.4,,2,Tier 2,3.3,-2.7
7,Puka Nacua,LAR,WR,2,Y,GAMBLE,Contract year; active psoas injury since mid-Aug; SF Overall #11 despite the risk,1,11.0,23,4,Tough,SF Overall #11,152.3,active psoas injury since mid-Aug,2,Tier 2,7.3,0.3
8,Drake Maye,NE,QB,3,N,,Superflex 1st-round arm; SF Overall #3,2,11.0,18,3,Neutral,Superflex Elite | SF Overall #3,138.1,,2,Tier 2,14.4,6.4
9,Trey McBride,ARI,TE,2,N,BUST,2025 volume inflated by Arizona playing from behind all year; priced for a repeat,1,14.0,22,4,Tough,TEP Cheat Code,128.0,,2,Tier 2,31.6,22.6
10,Jaxon Smith-Njigba,SEA,WR,3,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,11.0,17,3,Neutral,SF Overall #13,123.9,,2,Tier 2,8.2,-1.8
